Nederlands;Gronings
Of dat nog niet genoeg was, hadden diezelfde oude mannetjes ook nog storm in de zin.;Of dat nog nait genog was, haren dijzulfde olde kereltjes ook nog störm in de zin.
Ze kregen gelijk ook, omdat de wind door de schoorstenen begon te bulderen.;Ze kregen geliek ook, omreden dat de wind deur de schösstainen begon te buldern.
Enne veegde het bloed van zijn snuit en liep langs het verloren land en bij het water langs.;Enne veegde t bloud van zien snoet en luip langs t verloren laand en bie t wotter langes.
Daar zag hij een grote kerk.;Doar zag e grote kerk.
Het was simpelweg net een liggende dikke hond in ruig land.;t Was sikkom net n liggende dikke hond in roeg laand.
Hij rende door de steegjes naar huis en was blij dat hij achterhuis kwam.;Hai runde deur de steegjes noar hoes en was blied dat e achterhoes kwam.
Toen hij binnen was, stond er warme suikermelk voor hem klaar.;Dou e binnen was ston der waarme sukkelloamelk veur hom kloar.
Zijn moeder keek hem aan en wilde wat zeggen.;Zien moeke keek hom aan en wol wat zeggen.
Enne dronk door aan zijn suikermelk.;Enne dronk deur in zien sukkeloamelk.
'Heb je gevochten?', vroeg zijn moeder.;‘Hest vochten?’, vruig zien moeke.
Ze zag het grote gat in zijn jas.;Ze zag de grode winkelhoak in zien jaas.
Enne knikte en dronk door.;Enne knikte en dronk deur.
Zijn voeten huilden bij de kachel.;Zien vouten huil e bie kachel.
Er kwam damp van zijn sokken.;Der kwam daamp van zien sokken.
Moeder stookte de kachel nog wat op en keek door het deurtje.;Moeke reukelde de kachel nog wat op en keek deur t deurtje.
Achter het glaasje vraten de vlammetjes zich vol.;Achter t gloasje vraten de vlammetjes zuk vol.
'Ach, haal me nog een mand vol', vroeg ze.;‘Ach, hoal mie nog n kit vol’, vruig ze.
Het werd snel donker en Enne liep in volle vaart naar het schuurtje.;t Wuir snel duuster en Enne luip in volle voart noar t schuurtje.
In het oude schuurtje had de wind vrij spel door alle kieren en gaten.;In t olde schuurtje haar de wind vrij spel deur al e glieven en goaten.
Alle kolen en turf hadden een witte muts op.;Ale kolen en törf haren n widde muts op.
Enne stond stil.;Enne stond stil.
Midden tussen alle geluiden van wind en storm hoorde hij wat anders.;Middenmaank ale geluden van wind en störm heurde hai wat aans.
Het was klokgeluid.;t Was klokgeluu.
Het was de grote klok.;t Was de grode klok.
Hij hoorde de grote klok.;Hai heurde grode klok.
Het gebimbam werd aan stukken geblazen door de wind.;t Gebimbam wuir aan stukken bloazen deur wind.
Het klonk angstaanjagend.;t Klonk aangstaanjoagend.
Snel vulde hij de bak en liep weer naar huis.;Snel vulde hai de bak en luip weer noar hoes.
Hoor toch.;Heur toch.
Er was nu niets meer aan te doen.;Der was nou niks meer aan te doun.
Geen honderd moeders konden hem thuis houden.;Gain honderd moekes konnen hom toes holden.
Enne liet de bak smakken, de turven vlogen simpelweg in het rond.;Enne luit de bak smakken, de törven vlogen sikkom in rondte.
'Ik wil er nog uit', riep Enne.;‘Ik wil der nog oet’, ruip Enne.
'Hoor de klok gaat tekeer.;‘ Heur de klok gaait te keer.
Er is wat loos.;Der is wat loos.
Misschien wel een schip op het strand.' 'Moeder!!!!';Messchains wel n schip op t straand.’ ‘Moeke!!!!’
Ja, het is goed, maar zet je muts op en handschoenen aan.;Joa, t is goud, mor zet dien muts op en handschounen aan.
Ben je er om acht uur weer, anders gaat de deur op slot.;Bist der om acht uur weer en aans gaait deur op knip.
Blijf buiten de kist!!' Enne keek haar aan.;Den kist boeten blieven!!’ Enne keek heur aan.
Er zaten kleine twinkeltjes in haar ogen.;Der zaten klaine twinkeltjes in heur ogen.
Hij wist zeker, dat zou ze niet doen.;Hai wis t sekuur, dat zol ze nait doun.
Enne knikte rustig ja.;Enne knikte trankiel van joa.
De klok ging nog steeds tekeer, toen hij de wind in dook.;De klok ging nog aal tekeer, dou e deur de wind dook.
Dit betekende maar één ding.;Dit betaikende mor ain ding.
'Schip op het strand.' Hij beulde door en de storm deed zijn best hem tegen te houden.;‘Schip op t straand.’ Hai buulde deur en de störm dee zien best hom tegen te holden.
Het was alledaags.;t Was aaldernoast.
De storm was een kwaaie en joeg simpelweg alles tegen de vlakte.;De störm was n kwoaie en juig sikkom alles tegen de vlakte.
Na een minuut of tien was Enne dik achter de puf.;Noa n menuut of tien was Enne dik achter de poest.
Hij wilde eerst maar een scheutje drinken, dacht hij.;Hai wol zuk veureerst mor n schoeltje zuiken, docht e.
Waar kon dat beter bij de kerk.;Woar kon dat beter bie kerk.
Daar zou die storm geen vat op hebben.;Doar zol dij störm gain vat op hebben.
Die kerk stond er al zo lang.;Dij kerk ston der aal zo laank.
De meester op school had wel eens verteld, dat hij er in 1500 nog wat al stond.;Meester op schoul haar wel ais verteld, dat e der in 1500 nogwat al stond.
Hij was verkleed als Sinterklaas.;Hai was vernuimd noar Sunderkloas.
Hier kon hij even bijkomen.;Hai, hier kon e eefkes biekommen.
Enne keek omhoog en luisterde.;Enne keek omhoog en luusterde.
De zware dreunen van de klok gingen maar door.;De zwoare dreunen van de klok ging mor deur.
De wind huilde om de toren en door de bomen.;Wind hoelde om toren en deur de bomen.
Boven hem zag hij de wolken jagen.;Boven hom zag e de wolken joagen.
Hij werd er duizelig van en gleed bijna achterover.;Hai wuir der doezelg van en sluig hoast achterover.
Deze kerk ging bij storm niet over ende.;Dizze kerk ging bie störm nait onnersteboven.
Enne was vaak hier binnen geweest met zijn kameraad Robbe.;Enne was voak hier binnen west mit zien kammeroad Robbe.
Elke avond om zeven uur werden de klokken geluid.;Elke oavend om zeuven uur wuiren de klokken luud.
De vader van Robbe was koster.;Voader van Robbe was köster.
En als hij het goed vond, dan mochten ze de klokken luiden.;En as dij t goud vond den mochten ze de klokken luden.
Het werd al gauw een spelletje vanzelf.;t Wuir aal gaauw n spullechie vanzulfs.
Als de klokken eenmaal goed aan de loop waren, dan hingen ze zich vast en werden ze mee omhooggesleurd.;As de klokken ainmoal goud aan de loop waren den huilen ze zok vast en wuiren mit omhoogsleurd.
De pa van Robbe stond er dan altijd lachend bij te kijken, dat het niet te gevaarlijk werd.;Pa van Robbe ston der den altied lachend bie te kieken, dat t nait te gevoarlek wuir.
"Het was een pure sport; klokluiden.";"t Was n schiere sport; klokluden."
Maar nu zou er wel een ander aan het touw trekken.;Mor nou zol der wel n aander aan t taauw trekken.
Dit was geen kinderspel vanavond.;Dit was gain kinderspul vanoavend.
Er was nog een andere plek in deze kerk, waar hij graag even ging kijken.;Der was nog n aander stee in dizze kerk, woar e groag eefkes ging kieken.
Aan een grote witte muur ergens hoogop hing een schilderij.;Aan n grode widde muur aargens opzied hong n schilderij.
Daar stond hij altijd met open mond naar te kijken.;Doar ston e altied mit open mond noar te kieken.
Op het schilderij stond Sinterklaas.;Op t schilderij ston Sunterkloas.
Dat vond hij nog altijd vreemd, Sinterklaas in de kerk.;Dat von e nog aaltied vrumd Sunterkloas in kerk.
Sinterklaas kwam bij de huizen langs als hij jarig was.;Sunterkloas kwam bie de hoezen laangs as e joareg was.
Dan kreeg iedereen een speeltje en dingen en snoep.;Den kreeg elk en ain speulgoud en dingen en slik.
Maar hier stond Sinterklaas op een schilderij.;Mor hier ston Sunterkloas op n schilderij.
Enne keek omhoog en zag de schepen hangen.;Enne keek omhoog en zag de schepen hangen.
Aan dikke kabels hingen er zeilschepen aan het zolderplafond.;Aan dikke kabels hongen der zaailschepen aan zolder.
Het waren er een stuk of wat.;t Waren der n stuk of wat.
Ze waren net echt.;Ze waren net echt.
De zeilen stonden uit en je zag ankers hangen en bij één staken kleine kanonnen uit de zijkant.;De zaailen stonden oet en zagst ankers hangen en bie aine staken lutje kanonnen oet ziekaant.
De pa van Robbe had uitgelegd, dat Sinterklaas niet alleen goed was voor de kinderen.;Robbe zien pa haar oetlegd, dat Sunterkloas nait allenneg goud was veur de kinder.
Maar....;Mor....
Dat Sinterklaas ook de zeelieden beschermde als ze buiten op zee waren.;Dat Sunterkloas ook de zeelu beschaarmde as ze boeten op zee waren.
Enne stond een momentje om even op adem te komen.;Enne stond e n zetje om eefkes op oadem te kommen.
Zijn handen en voeten trilden van de kou.;Zien haanden en vouten pipperden van kòlde.
Enne rammelde aan de deur en kreeg hem open.;Enne rabbelde aan deur en kreeg hom open.
Het was maar een houten deur en hij stond voor het schilderij van Sinterklaas.;t Was mor n hoanetree en hai stond veur t schilderij van Sunterkloas.
Zijn mond viel open en er liepen rillingen over zijn rug.;Zien mond vuil open en der luipen rillens over zien rug.
Het schilderij van Sinterklaas was leeg.;t Schilderij van Sunterkloas was leeg.
Ja, nee, alles was er nog wel, maar Sinterklaas was weg.;Joa, nee, alles was der nog wel, mor Sunterkloas was vot.
Daar zag je wel een omtrek van Sinterklaas en het was helemaal wit.;Doar zagst wel n omtrek van Sunterkloas en t was hailndail wit.
Het leek net of hij eruit geknipt was.;t Leek net of e der oetknipt was.
Maar dat was niet zo.;Mor dat was nait zo.
De heilige was weg, maar ook weer niet.;Vaarf was vot, mor ook weer nait.
Enne draaide zich om en rende weer naar buiten.;Enne draaide zuk om en runde weer noar boeten.
Hij zoog alle lucht in een ronde zo dat de dikke storm weer in ging.;Hai zoog ale lucht in en runde zo dij dikke störm weer in.
Robbe kwam naast hem lopen.;Robbe kwam noast hom lopen.
'Sinterklaas is weg', schreef Enne.;‘Sunterkloas is vot’, schraiwde Enne.
Robbe knikte en vond dat voorlopig wel goed.;Robbe nikkopte en vond dat veureerst wel goud.
Bij de dijk moesten ze zijn, daar was wat te doen.;Bie diek mozzen ze wezen, doar wast te doun.
'Op het schilderij van hem zit nu een witte plek.;‘Op t schilderij van hom zit nou n widde plek.
Weet je wel.;Waist wel.
Waar hij altijd te zien is.;Woar hai aans altied te zain is.
Helemaal wit.;Hailmoal wit.
Weg.' Een windvlaag blies de rest van Ennes woorden weg.;Foetsie.’ n Windvloag bluis rest van Enne zien woorden vot.
Wat stond er een hoop volk op de dijk.;Wat ston der n tjucht volk op diek.
Iedereen deed zijn best daar om op de benen te blijven.;Elk dee zien best doar om op bain te blieven.
De noordwester zette door.;Noordwester zette deur.
Jongens doken met hun badbroeken midden in het volk.;Jongens doken mit heur baaident middenmaank t volk.
Robbe was er na een paar tellen al kwijt.;Robbe was e noa n poar tellen aal kwiet.
Grote golven knalden tegen de dijk op.;Grode golven knapten tegen diek op.
Schuim vloog met grote witte flarden om ieders hoofd.;Broezem vloog mit grode widde flotters elkenain om kop.
Het water probeerde bij de dijk omhoog te kruipen.;t Wotter perbaaierde bie diek omhoog te kroepen.
Al hoger en hoger.;Aal hoger en hoger.
Het volk moest van de dijk worden gespoeld.;t Volk mos van diek ofspuilt worden.
Weg ermee.;Weg der mit.
Ruimte voor het water.;Roemte veur t wotter.
Enne keek en keek.;Enne keek en keek.
Waar was dat schip?;Woar was dat schip?
Was er wel een schip in nood?;Was der wel n schip in nood?
Het was ook zo ontzettend donker boven het water.;Het was ook ja zo baalkeduuster boven t wotter.
Zwijgend stonden mannen en wat vrouwen te kijken.;Swiegend stonden manlu en wat vraauwlu te kieken.
Ieder had zo zijn gedachten over dit donderende geweld.;Elk haar zo zien gedachten over dit dondernd geweld.
Enne voelde het zout op zijn lippen.;Enne vuilde t zolt op zien lippen.
Toen brulde een van de mannen.;Dou brulde ain van manlu.
Hij wees over het water.;Hai wees over t wotter.
Het was Pasternak.;t Was Pasternak.
Enne zag in een flits wat.;Enne zag in n flitse wat.
Het was een zeil.;t Was n zaail.
Een zeil in flarden en vodden.;n Zaail in flarden en roavels.
Toen een stuk van de mast.;Dou n stuk van n mast.
Het slingerde zo hard in de wind, dat het stuk zeil bijna het kokende water raakte.;t Slingerde zo haard in de weer, dat t stuk zaail sikkom t kokende wotter roakte.
Toen was het allemaal weer weg.;Dou was t aalmoal weer vot.
En toen had het zeewater hem te pakken.;En dou haar t zeewotter hom te pakken.
Het spoelde Enne omver.;t Spuilde Enne om vouten.
Met twee, drie sprongen was hij weer wat hoger.;Mit twij, drij sprongen was e weer wat hoger.
Zijn schoenen en sokken en onderbroek waren doordrenkt.;Zien schounen en sokken en boksempiepen waren sjompenat.
Vouwen deed hij niets.;Vuilen dee e niks.
Hij was al stokstijf bevroren.;Hai was aal stok-en stokverkleumd.
Pasternak kwam erbij en drukte hem opzij.;Pasternak kwam der aan en drokte hom op zied.
Hij brulde wat in de wind.;Hai brulde wat in de wind.
'Het is de Mercator.;’ t Is de Mercator.
Daar heb ik zelf ook nog op gevaren.;Doar heb ik zulf ook nog op voaren.
Houd en zoek wat.;Holt en zuks wat.
Uit de Oostzee.';Oet Oostzee.
Er moesten vijf man aan boord zijn.;Der mouten vief man aan boord wezen.
Kapitein Hansson wil niet met minder en ook niet met meer varen.;Kaptain Hansson wil nait mit minder en ook nait mit meer voaren.
Daar kun je altijd gif op innemen.;Doar konst altijd gif op innemen.
Het is de Mercator.' De knecht van Twiezelstee wist te vertellen dat ze al vier man aan wal hadden.;t Is de Mercator.’ Knecht van Twiezelstee wos te vertellen dat ze aal vaaier man op waal haren.
Nog één man mist, dacht Enne.;Nog ain man vot, docht Enne.
Waar zou die nu zijn?;Woar zol dij nou wezen?
Nog aan boord of was hij misschien al in dit kolkende zwarte water gekomen?;Nog aan boord of was dij messchains aal in dit kolkende swaarte wotter kommen?
Pasternak liep weer naar zijn oude plek.;Pasternak luip weer noar zien olde stee.
Daar had hij beter zicht op het schip.;Doar haar e beter zicht op t schip.
Enne liep daar achteraan.;Enne luip der vot achteraan.
Hij tuurde door het duister en verbaasde zich dat hij het schip kon vinden in de grijze duisternis.;Hai tuurde deur t duuster en perbaaierde t schip te vinden in de graauwe duusternis.
Even werd het wat lichter en daar recht voor hem zag hij weer die mast met dat kapotte zeil.;Eefkes wuir t wat lichter en doar schuuns veur hom zag e weer dij mast mit dat kapodde zaail.
Maar nu zag hij dat er een figuur bovenin zat.;Mor nou zag e dat der n figuur boven in zat.
Er zat een man boven in de mast.;Der zat n man boven in mast.
Hij trok Pasternak aan zijn jas.;Hai trok Pasternak aan zien jaas.
'Kijk daar', riep hij zo hard als hij kon.;‘Kiek doar’, ruip e zo haard as e kon.
Heel even zagen ze een man boven in de mast zich klem houden.;Hail eefkes zagen ze n man boven in de mast zich klem holden.
'Dat is nummer vijf!' 'En nu wegwezen, doe sneller!!!', gromde hij.;‘Den is dat nummer vief!’ ‘En nou wegwezen doe snötter!!!’, gromde hai.
Enne voelde zich diep beledigd.;Enne vuilde zuk daip beledigd.
Had hij daar niet aangewezen worden dat hij de vijfde matroos was!;Haar e doar nait aanwezen woardat dij viefde matroos was!
Kwaad stampte hij voort, midden tussen het volk op de dijk en botste zo tegen Robbe aan.;Kwoad stampte hai vot, middenmaank t volk op diek en botste zo tegen Robbe aan.
'Wat was er nu met Sinterklaas', wilde hij weten.;‘Wat was der nou mit Sunterkloas’, wol dij waiten.
'Sinterklaas op het schilderij is weg.;‘Sunterkloas op t schilderij is vot.
Ik was daar nog even en toen zag ik het schilderij.;Ik was doar nog eefkes en dou zag ik t schilderij.
Alles is er nog, maar Sinterklaas was weg.;Alles is der nog, mor Sunterkloas was weg.
Dat was wit.;Dat was wit.
Het zag er rood uit.;t Zag der roar oet.
Ga je straks meekijken?;Gaaist straks mit kieken?
Dwars door het gehuil van de wind en het gebroes van het kwade water klonk gejoel.;Dwaars deur t gehoel van wind en t gebroes van t kwoade wotter klonk gejoel.
De vijfde matroos werd meer dood dan levend op de dijk gelegd.;Viefde matroos wuir meer dood den levend op diek legd.
Doordrenkt werd hij ingepakt in dekens en grote lappen zeildoek.;Votdoalek wuir e inpakt in dekens en grode lappen zaaildouk.
Niemand gaf nog wat om het schip dat ergens in dat woeste water in de weer slingerde.;Gainent gaf nog wat om t schip dat aargens in dat woeste wotter in de weer slingerde.
Het zal niet lang duren of de grommende zee zal het hele schip verslinden en het zal zinken of uit elkaar vallen.;t Zol nait laank duren of de grommende zee zol t haile schip verknuren en t zol zinken of oetmekoar vaaln.
Er bleef alleen maar wrakhout van over.;Der bleef allenneg wrakholt van over.
In een grote optocht ging het weer bij de dijk om.;In n grode optocht ging t weer bie diek omdeel.
Ze kwamen allemaal even in het zicht van de dijk.;Ze kwamen aalmpal eefkes in lijte van diek.
Iedereen was blij dat de vaarploeg veilig aan wal was.;Elk was blied dat t voarensvolk vaaileg aan waal was.
Kerkklokken luidden uit en alleen de stormwind was nog te horen.;Kerkklokken bimbambeierden oet en allenneg störmwind was nog te heuren.
Vijf arme kerels werden op een koor ingepakt door de Diekstraat reden.;Vief aarme kerels wuiren op n koar goud inpakt deur Diekstroat reden.
Pasternak liep erbij en probeerde ze wat aan de praat te houden.;Pasternak luip der bie en perbaaierde ze wat aan de proat te holden.
Ze kregen ook een fles aangereikt en wat te eten.;Ze kregen ook n fles aanlangt en wat te eten.
Robbe en;Robbe en
Enne liepen midden tussen het volk mee en ze waren blij dat deze zeelui weer grond onder de voeten hadden.;Enne luipen middenmaank te volk mit en ze waren blied dat dizze zeelu weer grond onder de vouten haren.
Toen ze bij de kerk aankwamen, ging een van de matrozen staan en beduudde dat hij van het koor af wilde.;Dou ze bie kerk aankwamen, ging ain van matrozen stoan en beduudde dat e van koar ôf wol.
Het koor werd stilgezet en stijf en stram kropen vijf arme stumpertjes eraf.;Koar wuir stilzet en stief en stram kropen vief aarme stumpers der ôf.
Robbe zijn vader deed de grote deur open en al strompelend gingen de vijf naar binnen.;Robbe zien pa dee grode deur open en aal strompelnd gingen de vief noarbinnen.
Iedereen uit de lange optocht ging er achteraan.;Elk oet laange optocht ging der achteraan.
Enne wurmde zich ook naar binnen.;Enne wurmde zuk ook noar binnen.
De matrozen liepen langzaam door de kerk naar aan de muren.;Matrozen luipen langzoam deur kerk noar aan van de muren.
Eén nam zijn wollen muts af.;Ain nam zien wollen muts of.
Twee anderen trokken een nat hemd over hun hoofd.;Twij aander trokken n nat hemd over kop.
Vaarde deed zijn schoenen en sokken uit.;Vaarde dee zien schounen en sokken oet.
En nummer vijf, die ze op het nippertje gered hadden, deed zich al zijn best.;En nummer vief, dij ze op t nippertje red haren dee sikkom aal zien goud oet.
Hij nam alle giften van zijn kameraden over.;Hai nam ale giften van zien kammeroaden over.
Langzaam liep ik met een arm vol potten naar een plekje.;Langzoam luip me mit n aarm vol polten noar ain plekje.
Het was het schilderij van Sinterklaas.;t Was t schilderij van Sunterkloas.
Voor het schilderij bleef hij staan en hij prevelde wat.;Veur t schilderij bleef e stoan en hai prevelde wat.
Een gedicht of een gebed, of.......;n Gedicht of n gebed, of.......
Enne kreeg er geen verstand van.;Enne kreeg der gain verstand van.
Hij was stil van wat er in de kerk gebeurde, maar zijn hart sloeg wel vijf keer over.;Hai was stil van wat der in kerk gebeurde, mor zien haart sluig wel vief keer over.
Sinterklaas!;Sunterkloas!
Die stond gewoon weer op zijn plek op het schilderij.;Dij stond gewoon weer op zien plek op t schilderij.
Dat kon toch geen waar zijn.;Dat kon toch gain woar wezen.
Enne kon het niet geloven.;Enne kon t nait leuven.
Hij had het zelf.....;Hai haar t zulf.....
Matrozen vielen elkaar om de schouders en Pasternak nam ze mee.;Matrozen vuilen mekoar om scholders en Pasternak nam ze mit.
Langzaam liep iedereen de kerk weer uit.;Langzoam luip elk kerk weer oet.
Het was althans......;t Was aldernoast......
Robbe kwam eraan.;Robbe kwam der aan.
‘Ach doe met die Sinterklaas van je!!’, zei hij.;‘Ach doe mit dien Sunterkloas is vot!!’, zee e.
‘Ik heb het gezien’, zei Enne.;‘Ik heb t zain’, zee Enne.
‘Ik heb het gezien.’ Hij liep naar het schilderij en keek en keek.;‘Ik heb t zain.’ Hai luip noar t schilderij en keek en keek.
De man met spierwitte haren en baard en een wapperende mantel keek terug.;De man mit spierwidde hoar en board en ferwailen mantel keek weerom.
Leek het.;Leek t.
‘Kijk dan!’ riep Enne.;‘Kiek den!’ reerde Enne.
Zijn stem galmde door de kerk.;Zien stem galmde deur kerk.
Jan Huttinga uit Daam 2018;Jan Huttinga n Daam 2018
OH SCHRIK OH SCHRIK OH KINDERSCHRIK;OH SCHRIK OH SCHRIK OH KINDERSCHRIK
een verhaal van;n verhoal van
Jan;Jan
Huttinga uit;Huttinga oet n
Daam met dank aan mijn pa en ma mijn opa en oma de buren en al die met wie ik vroeger speelde......;Daam mit dank aan mien pa en moe mien opa en oma de buren en aal dij mie kel muiken vrouger......
Ik ging vroeger als klein jongetje vaak bij mijn opa spelen.;Ik ging vrouger as klaain beudeltje voak bie mien Opa speulen.
Eerst in de tuin werken en sloofpoten of bessen plukken. Er was altijd wel wat te doen.;Eerst in toen waarken en sloa poten of bezzen plukken.Der was altied wel wat te doun.
Soms gingen we bonen plukken en dan gingen we daarna het gras voor het huis maaien.;Sums gingen we bonen plukken en den gingen wie baaident t gras veur t hoes maaien.
En als opa het goed naar zin had, dan kwam de hengel voor de sloot.;En as opa t goud op zin haar den kwam angelstok veur de droad.
We hadden het altijd erg druk met vissen achter bij de diep.;Wie haren t altied slim drok mit vissen achter bie t daip.
Opa met zijn hengel en ik met mijn grote trommel van een wasmachine.;Opa mit zien angelstok en ik mit mien grote trommel van wasmesien.
Ik ving altijd kleine visjes met broodkruimels.;Ik vong altied voorntjes mit krummeltjes brood.
Opa wilde dikke vissen vangen en had een worm aan het haakje.;Opa wol dikken vangen en haar n wurm aan t hoakje.
Eigenlijk kon opa er niets van.;Aigenlieks kon opa der niks van.
Hij was niet echt een visserman.;Hai was nait echt n vissersman.
Hij ving niets.;Hai vong niks.
Tegen etenstijd als mijn maag begon te knorren en het begon te schemeren, was het hoogste tijd om konijntjes te voeren.;Tegen etenstied as mien moag begon te knorren en t begon te twijduustern, was t hoogste tied om knientjes te vouern.
Het waren meestal zwarte konijntjes.;t Waren maist swaarte knientjes.
Maar er waren een paar bij die droeven met een wit vlekje op hun rug.;Mor der waren gounent bie dij druigen n wit doukje op rug.
Er was altijd wel genoeg gras en in de keuken stond een emmer met broodresten.;Der was altied wel genog gras en in keuken ston n emmer mit kapkes brood.
Opa zei altijd dat alle konijntjes een naam hadden.;Opa zee altied dat ale knientjes n noam haren.
Hij kende ze allemaal uit hun hoofd.;Hai wos ze aalmoal oet de kop.
Maar ze leken zo ontzettend op elkaar.;Mor ze leken zo aldernoast op mekoar.
Er waren zwarten en witten en witzwarten en zwartwitten en gouden met een witte vlek op de snuit en een ander was...;Der waren swaarten en witten en witswaarten en swaartwitten en gounent mit n widde vlek op snoet en n aander was .....
Ach, ik hield niet van mijn opa.;Och ik leufde mien opa nait.
Hij was een dikke snakkerd.;hai was n dikke snakkerd.
Als het werk gedaan was, dan gingen we naar binnen en dan kreeg ik suiker-melk met een dikke pannenkoek.;As t waark doan was, den ging we noar binnen en den kreeg ik sukkeloamelk mit n dikke pleverkouk.
Of soms was er een dikke plak stokbrood met boter en bruine suiker.;Of sums was der n dikke plak stoet mit botter en broene suker.
Dan ging de grote lamp boven tafel aan en dan vroeg ik opa of hij nog een verhaaltje vertellen wilde.;Den ging grode laamp boven toavel aan En den vruig ik opa of e nog n verhoaltje vertellen wol.
Het was altijd hetzelfde...;t was Aaltied t zulfde..
De kat kroop dan het liefst bij mij op schoot en als opa zijn koffie op had...;De kat kroop den t laifst bie mie op schoot en as opa zien kovvie op haar....
Dan begon hij te vertellen.;Den begon e te vertellen.
Ik wist al wat er kwam.;Ik wis al wat der kwam.
Opa ging vertellen over...;Opa ging vertellen over...
Ik zat doodsbang te trillen op mijn stoel en kneep kater Snor bijna in zijn staart.;ik zat votdoalek te trillen op stoul en kneep koater Snor hoast in steert.
'Weet je wel, hier achter bij de sloot waar Sicko woont.;‘Waist ja wel, hier achter bie daip woar Sicko woont.
