nld_Latn;gos_Latn
Waar ook maar een beetje lijf was, het bleef liggen.;Woar ook mor n beetje lij was bleef t liggen.
Maar elke keer kreeg de wind te wel weer te pakken en de wandelde en stoof het weer weg.;Mor elke keer kreeg de wind te wel weer te pakken en den dwirrelde en stoof t weer vot.
Elk en iedereen bleef onbedekt.;Elk en aine bleef onnerdak.
Mensen en dieren hadden bij dit weer niets anders te zoeken.;Minsk en daaier haren bie dit weer niks boeten te zuiken.
Wat je ook wilde, het was december.;Wat wol je ook t was decembermoand.
Oude mannen uit het dorp hadden dit ook allemaal voorzien.;Olde mannen oet t dorp haren dit ook aal veurspeld.
Gezegend Ham, deze zomer allemaal.;Berend Ham, dizze zummer aal.
Het zou een strenge winter worden.;t Zol n strenge winter worden.
Het begin was er.;t Begun was der.
's Nachts vroeg het dat het mooi was.;’s Nachts vroor t dat t knapte.
Of dat nog niet genoeg was, diezelfde oude kerels hadden ook nog storm in de zin.;Of dat nog nait genog was, haren dijzulfde olde kereltjes ook nog störm in de zin.
Ze kregen gelijk ook, omdat de wind door de schaatsen begon te buigen.;Ze kregen geliek ook, omreden dat de wind deur de schösstainen begon te buldern.
Enne veg het bloed van zijn snoet en liep langs het verloren land en bij het water langes.;Enne veegde t bloud van zien snoet en luip langs t verloren laand en bie t wotter langes.
Daar zag hij grote kerk.;Doar zag e grote kerk.
Het was bijna net een dikke hond in het roegland liggen.;t Was sikkom net n liggende dikke hond in roeg laand.
Hij rende door de straten naar huis en was blij dat hij terughuis kwam.;Hai runde deur de steegjes noar hoes en was blied dat e achterhoes kwam.
Toen hij binnen was stond er warme melk voor hem klaar.;Dou e binnen was ston der waarme sukkelloamelk veur hom kloar.
Zijn moeder keek hem aan en wilde iets zeggen.;Zien moeke keek hom aan en wol wat zeggen.
Enne dronk de deur in zijn chocolademeelk.;Enne dronk deur in zien sukkeloamelk.
Heb je gevochten?, vroeg zijn moeder.;‘Hest vochten?’, vruig zien moeke.
Ze zag de grote winkelhoek in zijn jas.;Ze zag de grode winkelhoak in zien jaas.
Enne knipte en dronk de deur.;Enne knikte en dronk deur.
Zijn voeten huilen hij bij de kachel.;Zien vouten huil e bie kachel.
Er kwam stoom uit zijn sokken.;Der kwam daamp van zien sokken.
Moeder rook de kachel nog even op en keek door de deur.;Moeke reukelde de kachel nog wat op en keek deur t deurtje.
Achter het glasje holden de vlammen zich vol.;Achter t gloasje vraten de vlammetjes zuk vol.
Ach, haal me nog een kit vol, vroeg ze.;‘Ach, hoal mie nog n kit vol’, vruig ze.
Het werd snel donker en Enne liep in volle toom naar het schuurtje.;t Wuir snel duuster en Enne luip in volle voart noar t schuurtje.
In het oude schuurtje had de wind vrij spel door alle e gleef en gaat.;In t olde schuurtje haar de wind vrij spel deur al e glieven en goaten.
Alle kolen en turf hadden een witte muts op.;Ale kolen en törf haren n widde muts op.
Ene stond stil.;Enne stond stil.
Gemiddeld alle geluiden van wind en storm hoorde hij iets anders.;Middenmaank ale geluden van wind en störm heurde hai wat aans.
Het was klokgeloude.;t Was klokgeluu.
Het was de grote klok.;t Was de grode klok.
Hij hoorde grote klok.;Hai heurde grode klok.
Het gebouw werd in stukjes geblazen door de wind.;t Gebimbam wuir aan stukken bloazen deur wind.
Het klonk aangrijpend.;t Klonk aangstaanjoagend.
Snel vulde hij de bak en liep terug naar huis.;Snel vulde hai de bak en luip weer noar hoes.
Luister toch.;Heur toch.
Er was nu niets meer aan te doen.;Der was nou niks meer aan te doun.
Geen honderd vrouwen konden hem aanhouden.;Gain honderd moekes konnen hom toes holden.
Hij liet de bak proeven, de törven vlogen bijna in rondte.;Enne luit de bak smakken, de törven vlogen sikkom in rondte.
Ik wil er nog uit, zei hij.;‘Ik wil der nog oet’, ruip Enne.
Haar klok gaat omgekeerd.;‘ Heur de klok gaait te keer.
Er is iets los.;Der is wat loos.
Missen schijnt wel een schip op het strand te hebben. Moeder!!!!;Messchains wel n schip op t straand.’ ‘Moeke!!!!’
Ja, het is goed, maar zet je muts op en de handschoenen aan.;Joa, t is goud, mor zet dien muts op en handschounen aan.
Je bent er om acht uur weer en dan gaat de deur op knip.;Bist der om acht uur weer en aans gaait deur op knip.
De kist buiten gebleven!! Enne keek naar haar.;Den kist boeten blieven!!’ Enne keek heur aan.
Er zaten kleine twinkeltjes in haar ogen.;Der zaten klaine twinkeltjes in heur ogen.
Hij wist het zeker, dat ze dat niet zou doen.;Hai wis t sekuur, dat zol ze nait doun.
Ene knipte rustig van ja.;Enne knikte trankiel van joa.
De klok ging nog steeds teker, toen hij door de wind dook.;De klok ging nog aal tekeer, dou e deur de wind dook.
Dit betekende maar één ding.;Dit betaikende mor ain ding.
Schip op het strand. Hij boelde door en de storm deed zijn best om hem tegen te houden.;‘Schip op t straand.’ Hai buulde deur en de störm dee zien best hom tegen te holden.
Het was ouderwets.;t Was aaldernoast.
De storm was een kwade en jaagde bijna alles tegen de vlakte.;De störm was n kwoaie en juig sikkom alles tegen de vlakte.
Na een minuut of tien was Enne dik achter de post.;Noa n menuut of tien was Enne dik achter de poest.
Hij wilde zichzelf eerst maar een schootje zoeken, dacht hij.;Hai wol zuk veureerst mor n schoeltje zuiken, docht e.
Waar kon dat beter bij de kerk?;Woar kon dat beter bie kerk.
Daar zou die storm geen vat op hebben.;Doar zol dij störm gain vat op hebben.
Die kerk stond er allemaal zo lang.;Dij kerk ston der aal zo laank.
De leraar op de school had haar wel eens verteld, dat hij er in 1500 nog wat stond.;Meester op schoul haar wel ais verteld, dat e der in 1500 nogwat al stond.
Hij was vernoemd naar Sunderkloude.;Hai was vernuimd noar Sunderkloas.
Hoi, hier kon je eventjes bijkomen.;Hai, hier kon e eefkes biekommen.
Enne keek omhoog en luisterde.;Enne keek omhoog en luusterde.
Het zware dreunen van de klok ging maar door.;De zwoare dreunen van de klok ging mor deur.
De wind hoolde om de toren en door de bomen.;Wind hoelde om toren en deur de bomen.
Boven hem zag hij de wolken jagen.;Boven hom zag e de wolken joagen.
Hij werd er enthousiast van en sloeg bijna achterover.;Hai wuir der doezelg van en sluig hoast achterover.
Deze kerk ging bij de storm niet onverstaan.;Dizze kerk ging bie störm nait onnersteboven.
Enne was hier dikwijls binnen geweest met zijn vriend Robbe.;Enne was voak hier binnen west mit zien kammeroad Robbe.
Elke avond om zeven uur werden de klokken gelokt.;Elke oavend om zeuven uur wuiren de klokken luud.
De vader van Robbe was klein.;Voader van Robbe was köster.
En als zij het goud vonden dan mochten ze de klokken luiden.;En as dij t goud vond den mochten ze de klokken luden.
Het werd allemaal gauw een spulje van zichzelf.;t Wuir aal gaauw n spullechie vanzulfs.
Als de klokken eens goed aan waren te lopen dan huilen ze zichzelf vast en werden ermee omhoog geslagen.;As de klokken ainmoal goud aan de loop waren den huilen ze zok vast en wuiren mit omhoogsleurd.
De vader van Robbe stond er altijd lachtend bij te kijken, dat het niet te gevaarlijk werd.;Pa van Robbe ston der den altied lachend bie te kieken, dat t nait te gevoarlek wuir.
"Het was een mooie sport; klokkenluiten.";"t Was n schiere sport; klokluden."
Maar nu zou er wel iemand anders aan de knoop trekken.;Mor nou zol der wel n aander aan t taauw trekken.
Dit was geen kinderlijke avond.;Dit was gain kinderspul vanoavend.
Er was nog een andere plaats in deze kerk, waar hij graag eens ging kijken.;Der was nog n aander stee in dizze kerk, woar e groag eefkes ging kieken.
Aan een grote witte muur hing ergens opzij een schilderij.;Aan n grode widde muur aargens opzied hong n schilderij.
Daar stond hij altijd met open mond naar te kijken.;Doar ston e altied mit open mond noar te kieken.
Op het schilderij stond Kerstmis.;Op t schilderij ston Sunterkloas.
Dat vond hij nog altijd vreemd aan de kerk van Sint-Kloos.;Dat von e nog aaltied vrumd Sunterkloas in kerk.
De zonsondergang kwam bij de huizen lang nadat het jaar was.;Sunterkloas kwam bie de hoezen laangs as e joareg was.
Den kreeg ieder en één speelgoed en spullen en snoep.;Den kreeg elk en ain speulgoud en dingen en slik.
Maar hier stond Kerstmis op een schilderij.;Mor hier ston Sunterkloas op n schilderij.
Enne keek omhoog en zag de schepen hangen.;Enne keek omhoog en zag de schepen hangen.
Aan dikke kabels hangen zeilschepen aan zolder.;Aan dikke kabels hongen der zaailschepen aan zolder.
Het waren er een stukje of zo.;t Waren der n stuk of wat.
Ze waren net echt.;Ze waren net echt.
De zeilen stonden uit en je zag ankers hangen en bij een staken een stukje kanonnen uit de zijkant.;De zaailen stonden oet en zagst ankers hangen en bie aine staken lutje kanonnen oet ziekaant.
Robbe's vader legde haar uit dat Kerstmis niet alleen goed was voor de kinderen.;Robbe zien pa haar oetlegd, dat Sunterkloas nait allenneg goud was veur de kinder.
Maar....;Mor....
Dat Kerstman ook de zeelieden beschermde toen ze buiten op zee waren.;Dat Sunterkloas ook de zeelu beschaarmde as ze boeten op zee waren.
Hier stond hij een beetje om eventjes op adem te komen.;Enne stond e n zetje om eefkes op oadem te kommen.
Zijn handen en voeten pipperden van de kou.;Zien haanden en vouten pipperden van kòlde.
Enne rammelde aan de deur en kreeg hem open.;Enne rabbelde aan deur en kreeg hom open.
Het was maar een tuinboom en hij stond voor het schilderij van Kerstman.;t Was mor n hoanetree en hai stond veur t schilderij van Sunterkloas.
Zijn mond voelde open en er luipen rillen over zijn rug.;Zien mond vuil open en der luipen rillens over zien rug.
Het schilderij van Kerstman was leeg.;t Schilderij van Sunterkloas was leeg.
Ja, nee, alles was er nog wel, maar Kerstmis was weg.;Joa, nee, alles was der nog wel, mor Sunterkloas was vot.
Daar zag je wel een omtrek van de zonsbui en het was de hele tijd wit.;Doar zagst wel n omtrek van Sunterkloas en t was hailndail wit.
Het leek alsof hij er uitgeknipt was.;t Leek net of e der oetknipt was.
Maar dat was niet zo.;Mor dat was nait zo.
De verf was weg, maar ook weer niet.;Vaarf was vot, mor ook weer nait.
Enne draaide zich om en rende weer naar buiten.;Enne draaide zuk om en runde weer noar boeten.
Hij zuigde alle lucht in en rende zo de dikke storm weer in.;Hai zoog ale lucht in en runde zo dij dikke störm weer in.
Robbe kwam naast hem lopen.;Robbe kwam noast hom lopen.
"""De zonsopgang is weg,"" schreeuwde Enne.";‘Sunterkloas is vot’, schraiwde Enne.
Robbe nijkopte en vond dat eerst wel goed.;Robbe nikkopte en vond dat veureerst wel goud.
Bij de dijk moesten ze zijn, daar was je te doen.;Bie diek mozzen ze wezen, doar wast te doun.
Op het schilderij van hem zit nu een witte plek.;‘Op t schilderij van hom zit nou n widde plek.
Je weet wel.;Waist wel.
Waar hij anders altijd te zien is.;Woar hai aans altied te zain is.
Heel wit.;Hailmoal wit.
Foetsie. Een windvlieg blees de rest van Enne zijn woorden weg.;Foetsie.’ n Windvloag bluis rest van Enne zien woorden vot.
Wat stonden er een twijfelachtig volk op de dijk.;Wat ston der n tjucht volk op diek.
Iedereen deed zijn best om op zijn beurt te blijven.;Elk dee zien best doar om op bain te blieven.
Noordwesten zette de deur.;Noordwester zette deur.
Jongens doken met hun tweeën gemiddeld het volk.;Jongens doken mit heur baaident middenmaank t volk.
Robbe was hij na een paar tellen helemaal kwijt.;Robbe was e noa n poar tellen aal kwiet.
Grote golven keken tegen de dijk op.;Grode golven knapten tegen diek op.
De lucht vloog met grote witte vaten iedereen om zijn kop.;Broezem vloog mit grode widde flotters elkenain om kop.
Het water probeerde bij de dijk omhoog te kruipen.;t Wotter perbaaierde bie diek omhoog te kroepen.
Alles hoger en hoger.;Aal hoger en hoger.
Het volk moest van de dijk afgevuurd worden.;t Volk mos van diek ofspuilt worden.
Weg daarmee.;Weg der mit.
Roem voor het water.;Roemte veur t wotter.
Ene keek en keek.;Enne keek en keek.
Waar was dat schip?;Woar was dat schip?
Was er wel een schip in nood?;Was der wel n schip in nood?
Het was ook zo duister boven het water.;Het was ook ja zo baalkeduuster boven t wotter.
Zwijgend stonden mannen en enkele vrouwen te kijken.;Swiegend stonden manlu en wat vraauwlu te kieken.
Iedereen had zo zijn gedachten over dit donderende geweld.;Elk haar zo zien gedachten over dit dondernd geweld.
Ene voelde het zout op zijn lippen.;Enne vuilde t zolt op zien lippen.
Dou roept één van de mannen.;Dou brulde ain van manlu.
Hij wees over het water.;Hai wees over t wotter.
Het was Pasternak.;t Was Pasternak.
Ene zag in een fles wat.;Enne zag in n flitse wat.
Het was een zail.;t Was n zaail.
een zeil in vluiers en raavels.;n Zaail in flarden en roavels.
Maak een stukje van een paal.;Dou n stuk van n mast.
Het slingerde zo hard in het weer, dat het stuk zaad onmiddellijk het kokende water raakte.;t Slingerde zo haard in de weer, dat t stuk zaail sikkom t kokende wotter roakte.
Toen was het allemaal weer weg.;Dou was t aalmoal weer vot.
En dou had het zeewater hem te pakken.;En dou haar t zeewotter hom te pakken.
Het spoelde Enne de voeten om.;t Spuilde Enne om vouten.
Met twee, drie sprongen was hij weer iets hoger.;Mit twij, drij sprongen was e weer wat hoger.
Zijn schoenen en sokken en boksempen waren rommel.;Zien schounen en sokken en boksempiepen waren sjompenat.
Je hebt niets gevoeld.;Vuilen dee e niks.
Hij was altijd stok-en-stok beschuldigd.;Hai was aal stok-en stokverkleumd.
Pasternak kwam er aan en drukte hem op de zuil.;Pasternak kwam der aan en drokte hom op zied.
Hij brulde iets in de wind.;Hai brulde wat in de wind.
Het is de Mercator.;’ t Is de Mercator.
Daar heb ik zelf ook nog voeten op.;Doar heb ik zulf ook nog op voaren.
Hout en zuks wat.;Holt en zuks wat.
Uit de Oostzee.;Oet Oostzee.
Er moeten vijf mannen aan boord zijn.;Der mouten vief man aan boord wezen.
Kapitein Hansson wil niet met minder en ook niet met meer rijden.;Kaptain Hansson wil nait mit minder en ook nait mit meer voaren.
Daar kon je altijd gif op nemen.;Doar konst altijd gif op innemen.
Het is de Mercator. De knecht van Twizelstee wist te vertellen dat ze allemaal vier mannen op de wand hadden.;t Is de Mercator.’ Knecht van Twiezelstee wos te vertellen dat ze aal vaaier man op waal haren.
Nog één man weg, dacht Enne.;Nog ain man vot, docht Enne.
Waar zou die nu zijn?;Woar zol dij nou wezen?
Nog aan boord of was hij misschien al in dit koelend zwart water gekomen?;Nog aan boord of was dij messchains aal in dit kolkende swaarte wotter kommen?
Pasternak liep terug naar zijn oude huis.;Pasternak luip weer noar zien olde stee.
Daar had ie beter zicht op het schip.;Doar haar e beter zicht op t schip.
Enene leed er iets achterna.;Enne luip der vot achteraan.
Hij doerde door de duisternis en probeerde het schip te vinden in de grove duisternis.;Hai tuurde deur t duuster en perbaaierde t schip te vinden in de graauwe duusternis.
Eifkes werd het iets lichter en toen schoon voor hem zag hij weer die mast met dat gebroken zaad.;Eefkes wuir t wat lichter en doar schuuns veur hom zag e weer dij mast mit dat kapodde zaail.
Maar nu zag hij dat er een figuur boven zat.;Mor nou zag e dat der n figuur boven in zat.
Er zat een man boven in de mast.;Der zat n man boven in mast.
Hij trok Pasternak aan zijn jas.;Hai trok Pasternak aan zien jaas.
Kijk daar, luip hij zo hard als hij kon.;‘Kiek doar’, ruip e zo haard as e kon.
Heel eerlijk zagen ze een man boven in de mast zich klem vasthouden.;Hail eefkes zagen ze n man boven in de mast zich klem holden.
Dat is dat nummer vijf! En nu wegwezen jij snotter!!!, gromde hij.;‘Den is dat nummer vief!’ ‘En nou wegwezen doe snötter!!!’, gromde hai.
Enne voelde zich diep beledigd.;Enne vuilde zuk daip beledigd.
Had hij daar niet aangegeven dat die vijfde matroos was!;Haar e doar nait aanwezen woardat dij viefde matroos was!
Kwad klopte hij weg, gemiddeld het volk op de dijk en botste zo tegen Robbe aan.;Kwoad stampte hai vot, middenmaank t volk op diek en botste zo tegen Robbe aan.
Wat was er nou met Kerstmis gebeurd, wilden zij weten.;‘Wat was der nou mit Sunterkloas’, wol dij waiten.
De zonsondergang op het schilderij is leeg.;‘Sunterkloas op t schilderij is vot.
Ik was er nog evenvogel en toen zag ik het schilderij.;Ik was doar nog eefkes en dou zag ik t schilderij.
Alles is er nog, maar Kerstman was weg.;Alles is der nog, mor Sunterkloas was weg.
Dat was wit.;Dat was wit.
Het zag er raar uit.;t Zag der roar oet.
Ga je straks met kijken?;Gaaist straks mit kieken?
Dwaars door het hol van de wind en het briesje van het kwaadaardige water klonk gele.;Dwaars deur t gehoel van wind en t gebroes van t kwoade wotter klonk gejoel.
De vijfde matroos werd meer dood dan levend op de dijk gelegd.;Viefde matroos wuir meer dood den levend op diek legd.
Votdoel werd het ingepakt in dekens en grote lappen zakdoek.;Votdoalek wuir e inpakt in dekens en grode lappen zaaildouk.
Niemand gaf nog iets om het schip dat ergens in dat woeste water in het weer slingerde.;Gainent gaf nog wat om t schip dat aargens in dat woeste wotter in de weer slingerde.
Het zou niet lang duren of de grommende zee zou het hele schip verrassen en het zou zinken of uitmeken varen.;t Zol nait laank duren of de grommende zee zol t haile schip verknuren en t zol zinken of oetmekoar vaaln.
Er bleef alleen nog wrakholte van over.;Der bleef allenneg wrakholt van over.
In een grote optocht ging het weer bij de dijk omlaag.;In n grode optocht ging t weer bie diek omdeel.
Ze kwamen allemaal in plaats van de diek.;Ze kwamen aalmpal eefkes in lijte van diek.
Iedereen was blij dat het vaartuig veilig aan was.;Elk was blied dat t voarensvolk vaaileg aan waal was.
De kerkklokken bemoorden en alleen de stormwind was nog te horen.;Kerkklokken bimbambeierden oet en allenneg störmwind was nog te heuren.
Vijf arme mannen werden op een koers goed ingepakt door de Diekstraat reden.;Vief aarme kerels wuiren op n koar goud inpakt deur Diekstroat reden.
Pasternak luip erbij en probeerde ze iets aan het gesprek te houden.;Pasternak luip der bie en perbaaierde ze wat aan de proat te holden.
Ze kregen ook een fles aan en wat te eten.;Ze kregen ook n fles aanlangt en wat te eten.
Robbe en;Robbe en
Hier kwamen gemiddeld te veel mensen mee en ze waren blij dat deze zeil weer grond onder de voeten had.;Enne luipen middenmaank te volk mit en ze waren blied dat dizze zeelu weer grond onder de vouten haren.
Toen ze bij de kerk aankwamen, ging een van de matrozen staan en aangegeven dat hij van de kooi wilde af.;Dou ze bie kerk aankwamen, ging ain van matrozen stoan en beduudde dat e van koar ôf wol.
De kooi werd stilgelegd en stijf en strak werden er vijf arme stumpers afgevallen.;Koar wuir stilzet en stief en stram kropen vief aarme stumpers der ôf.
Robbe's vader deed de grote deur open en allemaal stomgelend gingen de vijf naar binnen.;Robbe zien pa dee grode deur open en aal strompelnd gingen de vief noarbinnen.
Elk uit de lange optocht ging ernaartoe.;Elk oet laange optocht ging der achteraan.
En de wormen kwamen er ook in.;Enne wurmde zuk ook noar binnen.
De matrozen luipen langzaam door de kerk aan de muren.;Matrozen luipen langzoam deur kerk noar aan van de muren.
Ain nam zijn wollen muts af.;Ain nam zien wollen muts of.
De twee anderen trokken een nat shirt over hun hoofd.;Twij aander trokken n nat hemd over kop.
Vorderde dee zijn schoenen en sokken uit.;Vaarde dee zien schounen en sokken oet.
En nummer vijf, die ze op het nippertje heeft gered die bijna al zijn geld uit heeft.;En nummer vief, dij ze op t nippertje red haren dee sikkom aal zien goud oet.
Hij nam alle geschenken van zijn vrienden over.;Hai nam ale giften van zien kammeroaden over.
Langzaam luip ik met een arm vol zakken naar één plekje.;Langzoam luip me mit n aarm vol polten noar ain plekje.
Het was het schilderij van Sint-Kloos.;t Was t schilderij van Sunterkloas.
Voor het schilderij bleef hij staan en hij praatte iets.;Veur t schilderij bleef e stoan en hai prevelde wat.
Een gedicht of een gebed, of.......;n Gedicht of n gebed, of.......
Hij kreeg er geen verstand van.;Enne kreeg der gain verstand van.
Hij was stil van wat er in de kerk gebeurde, maar zijn hart sloeg wel vijf keer over.;Hai was stil van wat der in kerk gebeurde, mor zien haart sluig wel vief keer over.
Sterkte!;Sunterkloas!
Die stond gewoon weer op zijn plaats op het schilderij.;Dij stond gewoon weer op zien plek op t schilderij.
Dat kon toch niet waar zijn.;Dat kon toch gain woar wezen.
Ene kon het niet geloven.;Enne kon t nait leuven.
Hij had het zelf...;Hai haar t zulf.....
De matrozen voelen elkaar om de schouders en Pasternak nam ze mee.;Matrozen vuilen mekoar om scholders en Pasternak nam ze mit.
Langzaam liep elke kerk weer uit.;Langzoam luip elk kerk weer oet.
Het was verschrikkelijk...;t Was aldernoast......
Robbe kwam er aan.;Robbe kwam der aan.
Ach jij met je Kerstmis is weg!!, zei hij.;‘Ach doe mit dien Sunterkloas is vot!!’, zee e.
Ik heb het gezien, zei Enne.;‘Ik heb t zain’, zee Enne.
Ik heb het gezien. Hij liep naar het schilderij en keek en keek.;‘Ik heb t zain.’ Hai luip noar t schilderij en keek en keek.
De man met spierbreed haar en baard en fijne mantel keek opnieuw.;De man mit spierwidde hoar en board en ferwailen mantel keek weerom.
Het leek wel.;Leek t.
Kijk dan! schreeuwde Enne.;‘Kiek den!’ reerde Enne.
Zijn stem geluisterd door de kerk.;Zien stem galmde deur kerk.
Jan Huttinga een Dame 2018;Jan Huttinga n Daam 2018
OH SCHRIK OH SCHRIK OH KINDERSCHRIK;OH SCHRIK OH SCHRIK OH KINDERSCHRIK
Een verhaal van;n verhoal van
Jan;Jan
Huttinga uit een;Huttinga oet n
Dame met dank aan mijn vader en moeder mijn grootvader en oma de buren en alle die mij de kelk muiken vroeger......;Daam mit dank aan mien pa en moe mien opa en oma de buren en aal dij mie kel muiken vrouger......
Ik ging vroeger als klein beudje vaak bij mijn opa spelen.;Ik ging vrouger as klaain beudeltje voak bie mien Opa speulen.
Eerst in toen werken en slapen poten of bezems plukken. Er was altijd wel wat te doen.;Eerst in toen waarken en sloa poten of bezzen plukken.Der was altied wel wat te doun.
Ooit gingen we bonen plukken en dan gingen we beiden het gras voor het huis maaien.;Sums gingen we bonen plukken en den gingen wie baaident t gras veur t hoes maaien.
En als opa het goed op zijn zin had dan kwam angst voor de draad.;En as opa t goud op zin haar den kwam angelstok veur de droad.
We hadden het altijd erg druk met vissen achter bij de diep.;Wie haren t altied slim drok mit vissen achter bie t daip.
Opa met zijn hengst en ik met mijn grote trommel van wasmachine.;Opa mit zien angelstok en ik mit mien grote trommel van wasmesien.
Ik ving altijd voortijden met krummels brood.;Ik vong altied voorntjes mit krummeltjes brood.
Opa wilde dikken vangen en had een wurm aan het hoekje.;Opa wol dikken vangen en haar n wurm aan t hoakje.
Eigenlijk wist opa er niets van.;Aigenlieks kon opa der niks van.
Hij was niet echt een visser.;Hai was nait echt n vissersman.
Hij ving niets.;Hai vong niks.
Tegen etenstijd toen mijn maag begon te knarren en het begon te twijfelen, was het hoogst tijd om kleinknijen te vouwen.;Tegen etenstied as mien moag begon te knorren en t begon te twijduustern, was t hoogste tied om knientjes te vouern.
Het waren maar zwarte konijnen.;t Waren maist swaarte knientjes.
Maar er waren sommigen bij die dragen een wit kleer op de rug.;Mor der waren gounent bie dij druigen n wit doukje op rug.
Er was altijd wel genoeg gras en in de keuken stond een emmer met brood van de hoed.;Der was altied wel genog gras en in keuken ston n emmer mit kapkes brood.
Opa zei altijd dat alle konijnen een naam hadden.;Opa zee altied dat ale knientjes n noam haren.
Hij was ze allemaal uit het hoofd.;Hai wos ze aalmoal oet de kop.
Maar ze leken zo verschillend op elkaar.;Mor ze leken zo aldernoast op mekoar.
Er waren zwart en wit en wit en zwart en wit en één met een witte vlek op de snoet en een ander was .....;Der waren swaarten en witten en witswaarten en swaartwitten en gounent mit n widde vlek op snoet en n aander was .....
Ook ik geloofde mijn opa niet.;Och ik leufde mien opa nait.
hij was een dik praatje.;hai was n dikke snakkerd.
Toen het werk gedaan was, gingen we naar binnen en toen kregen we chocolademelk met een dikke pleverkoek.;As t waark doan was, den ging we noar binnen en den kreeg ik sukkeloamelk mit n dikke pleverkouk.
Of soms was er een dikke plak stoet met boter en bruine suiker.;Of sums was der n dikke plak stoet mit botter en broene suker.
Dan ging er een grote lamp boven de tafel aan en toen vroeg ik opa of hij nog een verhaal wou vertellen.;Den ging grode laamp boven toavel aan En den vruig ik opa of e nog n verhoaltje vertellen wol.
Het was altijd hetzelfde..;t was Aaltied t zulfde..
De kat kroop het liefst bij mij op de schoot en als opa zijn koffie op haar....;De kat kroop den t laifst bie mie op schoot en as opa zien kovvie op haar....
Dan begon hij te vertellen.;Den begon e te vertellen.
Ik wist al wat er kwam.;Ik wis al wat der kwam.
Opa ging vertellen over...;Opa ging vertellen over...
ik zat bijna te trillen op de stoel en kneep de koe Snor bijna in de staart.;ik zat votdoalek te trillen op stoul en kneep koater Snor hoast in steert.
Je weet wel, hier achter bij diep waar Sicko woont.;‘Waist ja wel, hier achter bie daip woar Sicko woont.
